지역,도서관명,상호대차 유무,순회사서 유무,지원 여부,지원인력,지원예산,지원장서,지원프로
경기 성남시,글향기작은도서관,그렇다,그렇다,그렇다,0,0,274,0
경기 파주시,금곡작은도서관,그렇지 않다,그렇다,그렇지 않다,0,0,0,0
경기 남양주시,금곡푸른꿈작은도서관,그렇다,그렇다,그렇다,0,0,0,0
경기 성남시,금광2동작은도서관,그렇다,그렇지 않다,그렇지 않다,0,0,0,0
경기 오산시,금암마을 5단지 도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 군포시,금정작은도서관,그렇지 않다,그렇다, ,0,0,0,0
경기 수원시,금호동새마을문고,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 용인시,금화작은도서관,그렇지 않다,그렇지 않다,그렇다,0,0,165,0
경기 화성시,기아행복마루작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 부천시,길벗작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 시흥시,길벗작은도서관,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 화성시,꽃담,그렇지 않다,그렇지 않다,그렇다,0,8585000,0,0
경기 화성시,꽃동산 작은도서관,그렇지 않다,그렇지 않다,그렇다,0,7000000,0,0
경기 안산시,꽃우물 작은도서관,그렇지 않다,그렇다,그렇다,1,0,840,2
경기 화성시,꽃초롱,그렇지 않다,그렇지 않다,그렇지 않다,0,0,0,0
경기 안성시,꽃피는도서관,그렇다,그렇지 않다,그렇다,0,6563900,626,1
